acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.63,0.8,0.7,0.56,0.75,0.68,0.64,0.69,0.68,0.66,0.58,0.71,0.69,0.65,0.6,0.65,0.7,0.72,0.62,0.64,0.69,0.55,0.56,0.61,0.87,0.86,0.91,0.92,0.9,0.91,0.93,0.93,0.92,0.92,0.91,0.92,0.92,0.91
,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.42,0.59,0.42,0.43,0.42,0.41,0.44,0.47,0.43,0.43,0.28,0.43,0.41,0.42,0.42,0.47,0.43,0.39,0.45,0.4,0.37,0.5,0.58,0.6,0.37,0.37,0.33,0.39,0.42,0.4,0.38,0.37,0.37,0.37,0.37,0.37,0.38,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,3.26,3.37,3.37,3.18,3.36,3.31,3.3,3.34,3.34,3.33,3.2,3.32,3.31,3.33,3.28,3.37,3.34,3.33,3.25,3.31,3.31,3.3,3.33,3.36,3.51,3.57,3.65,3.74,3.76,3.75,3.74,3.76,3.75,3.74,3.74,3.76,3.78,3.77
,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,9.34,484.08,494.74,473.16,490.38,493.74,6.23,3.22,492.54,491.63,482.71,497.43,494.38,496.67,8.26,12.69,490.47,12.17,488.89,494.29,8.03,492.6,489.16,14.19,495.83,498.29,494.57,497.22,497.87,499.03,497.37,497.96,497.91,497.54,497.08,498.2,496.84,498.4
,,,,,,,,,,,,,,,,,,,,,,,,,,-0.88,10.08,491.18,495.7,0.39,2.14,-0.36,495.22,9.22,11.68,495.42,492.57,-0.06,-1.21,490.39,-1.2,2.57,8.44,481.89,1.44,-1.42,5.58,498.16,5.56,15.46,13.91,11.2,10.4,2.48,497.85,-0.09,2.08,0.61,0.66,0.13,1.44,0.47,1.89,-0.33
,,,,,,,,,,,,,,,,,,,,,,,,,,490.47,496.63,9.62,4.29,13.49,7.52,499.89,493.84,4.75,12.54,500.8,15.23,12.77,7.81,1.97,493.81,495.87,10.65,484.96,17.73,497.06,485.97,482.15,495.58,26.39,12.55,6.83,494.51,500.18,498.38,1.23,3.19,500.61,500.38,500.91,500.64,500.87,497.5,500.9
,,,,,,,,,,,,,,,,,,,,,,,,,,12:45:10,12:45:11,12:45:11,12:45:12,12:45:12,12:45:13,12:45:14,12:45:14,12:45:15,12:45:15,12:45:16,12:45:16,12:45:17,12:45:17,12:45:18,12:45:18,12:45:19,12:45:19,12:45:20,12:45:20,12:45:21,12:45:21,12:45:22,12:45:22,12:45:23,12:45:23,12:45:24,12:45:24,12:45:25,12:45:25,12:45:26,12:45:26,12:45:27,12:45:27,12:45:29,12:45:29,12:45:30,12:45:30,12:45:31
